#results for MallocBenchmark02:
#information in columns:
#mem size: size of allocated memory
#threadCount: count of threads in test
#freePercentage: ammount of deallocations after a 100 allocations
#maxLength: maximum length of random sized string
#time : count of processor cycles requred for benchmark run
#freeCount: count of free blocks at the end of benchmark
#freeCount<160 : count of free blocks at the end of benchmark smaller that 160B
#chunkCount: count of memory chunks
#freeSize: size of memory in free blocks
#overhead: internal fragmentation + header and footer sizes
#

#############, resize enabled, 14.2.2009 build (rev 729) using YieldingSpinLock in test###################
###table size 1999 ####
#############default####################

#1mb
#mem size(mb)	maxLenght	freePercentage	threadCount	time (cycles)	freecount	freeCount<160	chunkcount 	freeSize	overhead 
4				2048		75				10			147021330		1882		1296			1			729860		313969
4				2048		75				10			148909413		1939		1373			1			335928		309848

4				2048		75				20			168826622		2088		1355			1			999900		313176
4				2048		75				20			170768427		2092		1407 			1			476952		312302

4				2048		75				40			203023952		2176		1390			1			673908		319309
#4				2048		75				40			349964517		2149		1388			1			1184500		315735
4				2048		75				40			188773363		2113		1387			1			495744		312688

4				2048		75				60			230584501		2206		1482			1			1263616		315784
4				2048		75				60			232173306		2206		1375			1			1255988		330426

4				2048		75				80			264924624		2085		1346			1			1019504		308666
4				2048		75				80			280953123		2047		1315			1			1214212		311240

#6mb
#mem size(mb)	maxLenght	freePercentage	threadCount	time (cycles)	freecount	freeCount<160	chunkcount 	freeSize	overhead 
6				2048		75				1			241552471		2244		1592			1			594456		453372
6				2048		75				1			231583154		2194		1513			1			597568		443676

6				2048		75				10			277492088		2543		1795			1			561576		463914
6				2048		75				10			265476585		2636		1922			1			586408		452887

6				2048		75				20			305681721		2915		2028 			1			974624		467341
6				2048		75				20			328440334		2829		1915 			1			926600		467128

6				2048		75				40			405212067		3173		2104			1			777960		472606
6				2048		75				40			410033892		3053		2072			1			1079844		475454

6				2048		75				60			604993894		3109		2024			1			1275140		470798
6				2048		75				60			581410174		2982		2004			1			740680		467583

6				2048		75				80			758840641		3033		2059			1			704636		474062
6				2048		75				80			764497585		3077		1967			1			1700172		469422


#8mb
#mem size(mb)	maxLenght	freePercentage	threadCount	time (cycles)	freecount	freeCount<160	chunkcount 	freeSize	overhead 
8				2048		75				1			377691912		3033		2109			1			431352		603146
8				2048		75				1			370438286		2985		2087			1			426964		601111

8				2048		75				10			432302572		3230		2337			1			950060		611277
8				2048		75				10			431366598		3353		2490			1			934644		610741

8				2048		75				20			511886260		3619		2602 			1			511872		618244
#8				2048		75				20			1181816711		3545		2532 			1			724556		610179
8				2048		75				20			472404561		3520		2435 			1			961116		607850

8				2048		75				40			1964681735		3749		2608			1			1031512		620257
#8				2048		75				40			687475556		3985		2776			1			934304		625640
#8				2048		75				40			too long		3985		2776			1			934304		625640
8				2048		75				40			1590831698		3894		2708			1			783600		619216

8				2048		75				60			1085636947		3898		2669			1			1461804		624685
8				2048		75				60			1102235944		3949		2743			1			1507352		625793






#############next fit####################

#1mb
#mem size(mb)	maxLenght	freePercentage	threadCount	time (cycles)	freecount	freeCount<160	chunkcount 	freeSize	overhead 
1				2048		75				20			31668861		491			258				1			411620		76040
1				2048		75				20			27967386		551			287				1			432932		76252
1				2048		75				20			32700576		521			322				1			491948		76520

1				2048		75				40			42553454		1150		429				1			1691488		108961
